epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.4223,5.9744,32.7671,5.87532,0,0,0,0,5.36109,9.39782,3.9097,5.716e-05,5.716e-05,5.716e-05
2,139.296,5.25226,13.6221,4.34138,0.05409,0.11111,0.06009,0.01523,4.23626,9.31889,3.16754,0.000127973,0.000127973,0.000127973
3,202.201,4.13312,7.1276,3.13409,0.78828,0.22222,0.08917,0.0136,3.63022,11.4076,2.9071,0.000198079,0.000198079,0.000198079
4,263.189,3.83863,5.22956,2.53065,0.40365,0.11111,0.14336,0.05109,3.03075,6.69992,2.93816,0.000267478,0.000267478,0.000267478
5,325.039,3.45014,4.04159,2.4156,0.7374,0.33333,0.24,0.08622,3.33412,12.0849,3.25117,0.000336169,0.000336169,0.000336169
6,384.983,3.65095,4.35865,2.47036,0.43783,0.11111,0.22826,0.08154,3.42808,5.08496,3.19133,0.000404153,0.000404153,0.000404153
7,444.003,3.65115,3.884,2.63923,0.18433,0.66667,0.37013,0.08681,3.14504,14.9235,3.61755,0.00047143,0.00047143,0.00047143
8,503.062,3.53037,3.89908,2.39083,0.18433,0.66667,0.37013,0.08681,3.14504,14.9235,3.61755,0.000537999,0.000537999,0.000537999
9,564.984,3.39045,3.22846,2.26991,0.48702,0.55556,0.30888,0.09969,2.92652,3.29849,2.99267,0.000603861,0.000603861,0.000603861
10,623.445,3.54179,2.98623,2.21667,0.7667,0.33333,0.24367,0.09331,3.58427,6.27784,2.94603,0.000669016,0.000669016,0.000669016
11,682.352,3.27086,2.9262,2.30379,0.7667,0.33333,0.24367,0.09331,3.58427,6.27784,2.94603,0.000733463,0.000733463,0.000733463
12,741.707,3.42219,2.80061,2.33988,0,0,0,0,4.71447,6.7113,2.7873,0.000797203,0.000797203,0.000797203
13,800.407,3.71083,3.65783,2.39699,0,0,0,0,4.71447,6.7113,2.7873,0.000860235,0.000860235,0.000860235
14,858.181,3.67442,3.53465,2.32304,0,0,0,0,4.71447,6.7113,2.7873,0.00092256,0.00092256,0.00092256
15,915.95,3.38029,3.28312,2.22373,0.67559,0.11111,0.01134,0.00227,4.62141,4.45456,6.98819,0.000984178,0.000984178,0.000984178
16,973.468,3.2039,3.07899,2.0482,0.67559,0.11111,0.01134,0.00227,4.62141,4.45456,6.98819,0.00104509,0.00104509,0.00104509
17,1030.89,3.29292,3.02663,1.92971,0.67559,0.11111,0.01134,0.00227,4.62141,4.45456,6.98819,0.00110529,0.00110529,0.00110529
18,1089.27,3.12902,2.97116,1.90694,0.69521,0.44444,0.46651,0.1606,3.00439,8.43484,3.71871,0.00116479,0.00116479,0.00116479
19,1147.03,3.13983,2.72791,1.83231,0.69521,0.44444,0.46651,0.1606,3.00439,8.43484,3.71871,0.00122358,0.00122358,0.00122358
20,1205.26,3.14327,2.78984,1.80995,0.69521,0.44444,0.46651,0.1606,3.00439,8.43484,3.71871,0.00128166,0.00128166,0.00128166
21,1263.58,3.16716,2.7548,1.7529,0.61488,0.47873,0.62788,0.1303,3.47245,2.05257,2.95281,0.00128753,0.00128753,0.00128753
22,1321.06,3.48944,2.84878,1.79163,0.61488,0.47873,0.62788,0.1303,3.47245,2.05257,2.95281,0.00128046,0.00128046,0.00128046
23,1379.99,3.41732,2.78542,1.67015,0.61488,0.47873,0.62788,0.1303,3.47245,2.05257,2.95281,0.00127338,0.00127338,0.00127338
24,1437.62,3.25235,2.5881,1.80477,0.91301,0.33333,0.32686,0.10375,3.33459,2.58699,2.84596,0.00126631,0.00126631,0.00126631
25,1495.47,3.18016,2.24436,1.84023,0.91301,0.33333,0.32686,0.10375,3.33459,2.58699,2.84596,0.00125923,0.00125923,0.00125923
26,1552.8,3.13503,2.2899,1.88969,0.91301,0.33333,0.32686,0.10375,3.33459,2.58699,2.84596,0.00125216,0.00125216,0.00125216
27,1613.78,3.15244,2.26871,1.75652,0.73171,0.33333,0.68101,0.12779,3.12293,10.6637,2.27504,0.00124509,0.00124509,0.00124509
28,1671.45,2.55439,2.04935,1.65294,0.73171,0.33333,0.68101,0.12779,3.12293,10.6637,2.27504,0.00123801,0.00123801,0.00123801
29,1729.18,2.55439,2.01709,1.59795,0.73171,0.33333,0.68101,0.12779,3.12293,10.6637,2.27504,0.00123094,0.00123094,0.00123094
30,1788.23,2.67138,2.00911,1.58801,0.70418,0.52577,0.56942,0.17769,2.76125,7.13942,1.68867,0.00122387,0.00122387,0.00122387
31,1845.54,2.63293,2.23115,1.56596,0.70418,0.52577,0.56942,0.17769,2.76125,7.13942,1.68867,0.00121679,0.00121679,0.00121679
32,1902.96,2.57362,2.1676,1.55969,0.70418,0.52577,0.56942,0.17769,2.76125,7.13942,1.68867,0.00120972,0.00120972,0.00120972
33,1961.81,2.50378,2.14765,1.63952,0.70418,0.52577,0.56942,0.17769,2.76125,7.13942,1.68867,0.00120265,0.00120265,0.00120265
34,2019.8,2.43177,1.7534,1.65467,0.41552,0.77101,0.55475,0.18402,2.96028,2.75271,1.32113,0.00119557,0.00119557,0.00119557
35,2077.34,2.49006,1.56641,1.56169,0.41552,0.77101,0.55475,0.18402,2.96028,2.75271,1.32113,0.0011885,0.0011885,0.0011885
36,2136.16,2.33103,1.56791,1.55257,0.41552,0.77101,0.55475,0.18402,2.96028,2.75271,1.32113,0.00118143,0.00118143,0.00118143
37,2193.69,2.61199,1.59659,1.55678,0.43373,0.65297,0.48414,0.11849,3.05244,2.35029,1.20689,0.00117435,0.00117435,0.00117435
38,2251.28,2.74262,1.66117,1.4279,0.43373,0.65297,0.48414,0.11849,3.05244,2.35029,1.20689,0.00116728,0.00116728,0.00116728
39,2309.87,2.70707,1.62796,1.42403,0.43373,0.65297,0.48414,0.11849,3.05244,2.35029,1.20689,0.00116021,0.00116021,0.00116021
40,2367.89,2.59381,1.54238,1.31179,0.64638,0.44444,0.62947,0.24082,3.05279,1.76113,1.36689,0.00115313,0.00115313,0.00115313
41,2426.47,2.23544,1.53311,1.47003,0.64638,0.44444,0.62947,0.24082,3.05279,1.76113,1.36689,0.00114606,0.00114606,0.00114606
42,2485.2,2.40167,1.48041,1.31695,0.64638,0.44444,0.62947,0.24082,3.05279,1.76113,1.36689,0.00113898,0.00113898,0.00113898
43,2542.99,2.43071,1.54268,1.29135,0.2573,0.66667,0.48072,0.24283,2.53824,1.53154,1.25147,0.00113191,0.00113191,0.00113191
44,2600.97,2.1508,1.39301,1.22494,0.2573,0.66667,0.48072,0.24283,2.53824,1.53154,1.25147,0.00112484,0.00112484,0.00112484
45,2658.17,2.09776,1.40045,1.31036,0.2573,0.66667,0.48072,0.24283,2.53824,1.53154,1.25147,0.00111776,0.00111776,0.00111776
46,2716.41,2.23287,1.38699,1.18601,0.68702,0.59471,0.57557,0.22455,2.53106,1.63277,1.09112,0.00111069,0.00111069,0.00111069
47,2773.81,2.0854,1.19784,1.29045,0.68702,0.59471,0.57557,0.22455,2.53106,1.63277,1.09112,0.00110362,0.00110362,0.00110362
48,2831.05,2.17022,1.25986,1.34645,0.68702,0.59471,0.57557,0.22455,2.53106,1.63277,1.09112,0.00109654,0.00109654,0.00109654
49,2888.75,2.01208,1.28204,1.32168,0.68702,0.59471,0.57557,0.22455,2.53106,1.63277,1.09112,0.00108947,0.00108947,0.00108947
50,2946.04,2.08508,1.2351,1.06937,0.73751,0.55556,0.6345,0.25662,2.47576,1.82526,1.19505,0.0010824,0.0010824,0.0010824
51,3003.71,2.07329,1.23012,1.14132,0.73751,0.55556,0.6345,0.25662,2.47576,1.82526,1.19505,0.00107532,0.00107532,0.00107532
52,3061.07,2.09864,1.23874,1.10297,0.73751,0.55556,0.6345,0.25662,2.47576,1.82526,1.19505,0.00106825,0.00106825,0.00106825
53,3118.93,1.95979,1.13678,1.20219,0.7665,0.54068,0.67529,0.29395,2.08551,1.90925,1.13131,0.00106118,0.00106118,0.00106118
54,3177.51,2.00279,1.10141,1.14442,0.7665,0.54068,0.67529,0.29395,2.08551,1.90925,1.13131,0.0010541,0.0010541,0.0010541
55,3235.74,1.92561,1.09872,1.16177,0.7665,0.54068,0.67529,0.29395,2.08551,1.90925,1.13131,0.00104703,0.00104703,0.00104703
56,3293.54,2.04516,1.16359,1.12288,0.86335,0.55556,0.62942,0.30221,2.08002,1.95461,1.12577,0.00103995,0.00103995,0.00103995
57,3350.63,2.01156,1.16596,1.0281,0.86335,0.55556,0.62942,0.30221,2.08002,1.95461,1.12577,0.00103288,0.00103288,0.00103288
58,3408.26,1.91414,1.14654,1.05619,0.86335,0.55556,0.62942,0.30221,2.08002,1.95461,1.12577,0.00102581,0.00102581,0.00102581
